AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,core_flag,reduction
aliexpress,1-SignIn,0,0,"{'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in', 'account'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}","{'email', 'account', 'password', 'to_signin_or_signup', 'sign_in'}",1.0,1.0,0.5,0.8,,
aliexpress,1-SignIn,0,1,"{'home', 'item_detail', 'cart', 'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in', 'account'}","{'email', 'password', 'buy', 'to_signin_or_signup', 'continue', 'cart', 'sign_in', 'number'}","{'email', 'account', 'password', 'to_signin_or_signup', 'sign_in'}",0.6,0.5,0.75,0.8,,
aliexpress,1-SignIn,0,2,"{'home', 'signin_or_signup', 'sign_in', 'account'}","{'home', 'signin_or_signup', 'sign_in', 'account'}","{'email', 'account', 'password', 'to_signin_or_signup', 'sign_in'}","{'email', 'account', 'password', 'to_signin_or_signup', 'sign_in'}",1.0,1.0,1.0,1.0,,
aliexpress,1-SignIn,1,0,"{'signin_or_signup', 'sign_in'}","{'home', 'account', 'cart', 'signin_or_signup', 'sign_in'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}","{'email', 'account', 'password', 'to_signin_or_signup', 'cart', 'sign_in'}",1.0,1.0,0.4,0.6666666666666666,,
aliexpress,1-SignIn,1,1,"{'home', 'item_detail', 'cart', 'signin_or_signup', 'sign_in'}","{'home', 'account', 'cart', 'signin_or_signup', 'sign_in'}","{'email', 'password', 'buy', 'to_signin_or_signup', 'continue', 'cart', 'sign_in', 'number'}","{'email', 'account', 'password', 'to_signin_or_signup', 'cart', 'sign_in'}",0.8,0.625,0.8,0.8333333333333334,,
aliexpress,1-SignIn,1,2,"{'home', 'signin_or_signup', 'sign_in', 'account'}","{'home', 'account', 'cart', 'signin_or_signup', 'sign_in'}","{'email', 'account', 'password', 'to_signin_or_signup', 'sign_in'}","{'email', 'account', 'password', 'to_signin_or_signup', 'cart', 'sign_in'}",1.0,1.0,0.8,0.8333333333333334,,
wish,1-SignIn,0,0,{'sign_in'},"{'sign_in', 'sign_up'}","{'sign_in', 'password'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}",1.0,1.0,0.5,0.5,,
wish,1-SignIn,0,1,"{'popup', 'sign_in'}","{'sign_in', 'sign_up'}","{'email', 'sign_in', 'continue', 'password'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}",0.5,0.75,0.5,0.75,,
wish,1-SignIn,0,2,"{'pwd_assistant', 'popup', 'sign_in'}","{'sign_in', 'sign_up'}","{'sign_in', 'continue', 'password'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}",0.3333333333333333,0.6666666666666666,0.5,0.5,,
wish,1-SignIn,0,3,"{'pwd_assistant', 'popup', 'sign_in'}","{'sign_in', 'sign_up'}","{'email', 'password', 'continue', 'back', 'sign_in'}","{'email', 'sign_in', 'to_signin_or_signup', 'password'}",0.3333333333333333,0.6,0.5,0.75,,
wish,1-SignIn,1,0,{'sign_in'},"{'pwd_assistant', 'popup', 'sign_in', 'sign_up'}","{'sign_in', 'password'}","{'forget_pwd', 'email', 'apply', 'to_signin_or_signup', 'continue'}",1.0,0.0,0.25,0.0,,
wish,1-SignIn,1,1,"{'popup', 'sign_in'}","{'pwd_assistant', 'popup', 'sign_in', 'sign_up'}","{'email', 'sign_in', 'continue', 'password'}","{'forget_pwd', 'email', 'apply', 'to_signin_or_signup', 'continue'}",1.0,0.5,0.5,0.4,,
wish,1-SignIn,1,2,"{'pwd_assistant', 'popup', 'sign_in'}","{'pwd_assistant', 'popup', 'sign_in', 'sign_up'}","{'sign_in', 'continue', 'password'}","{'forget_pwd', 'email', 'apply', 'to_signin_or_signup', 'continue'}",1.0,0.3333333333333333,0.75,0.2,,
wish,1-SignIn,1,3,"{'pwd_assistant', 'popup', 'sign_in'}","{'pwd_assistant', 'popup', 'sign_in', 'sign_up'}","{'email', 'password', 'continue', 'back', 'sign_in'}","{'forget_pwd', 'email', 'apply', 'to_signin_or_signup', 'continue'}",1.0,0.4,0.75,0.4,,
etsy,1-SignIn,0,0,"{'get_started', 'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in', 'menu'}","{'continue', 'sign_in', 'to_signin_or_signup'}","{'email', 'password', 'to_signin_or_signup', 'menu', 'sign_in'}",0.6666666666666666,0.6666666666666666,0.5,0.4,,
etsy,1-SignIn,0,1,"{'get_started', 'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in', 'menu'}","{'multi_form', 'password', 'to_signin_or_signup', 'continue', 'sign_in'}","{'email', 'password', 'to_signin_or_signup', 'menu', 'sign_in'}",0.6666666666666666,0.6,0.5,0.6,,
etsy,1-SignIn,1,0,"{'get_started', 'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in'}","{'continue', 'sign_in', 'to_signin_or_signup'}","{'email', 'password', 'to_signin_or_signup', 'continue', 'sign_in'}",0.6666666666666666,1.0,0.6666666666666666,0.6,,
etsy,1-SignIn,1,1,"{'get_started', 'signin_or_signup', 'sign_in'}","{'home', 'signin_or_signup', 'sign_in'}","{'multi_form', 'password', 'to_signin_or_signup', 'continue', 'sign_in'}","{'email', 'password', 'to_signin_or_signup', 'continue', 'sign_in'}",0.6666666666666666,0.8,0.6666666666666666,0.8,,
