AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,core_flag,reduction
aliexpress,2-SignUp,0,0,"{'home', 'sign_up', 'signin_or_signup'}","{'account', 'home', 'sign_up', 'get_started'}","{'account', 'to_signin_or_signup', 'sign_up'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6666666666666666,1.0,0.5,0.6,,
aliexpress,2-SignUp,0,1,"{'home', 'sign_up', 'signin_or_signup'}","{'account', 'home', 'sign_up', 'get_started'}","{'bookmark', 'sign_up', 'to_signin_or_signup'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6666666666666666,0.6666666666666666,0.5,0.4,,
aliexpress,2-SignUp,0,2,"{'home', 'account', 'popup', 'sign_up', 'signin_or_signup'}","{'account', 'home', 'sign_up', 'get_started'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup', 'continue'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6,0.8333333333333334,0.75,1.0,,
aliexpress,2-SignUp,1,0,"{'home', 'sign_up', 'signin_or_signup'}","{'sign_in', 'home', 'get_started', 'account', 'sign_up'}","{'account', 'to_signin_or_signup', 'sign_up'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6666666666666666,1.0,0.4,0.6,,
aliexpress,2-SignUp,1,1,"{'home', 'sign_up', 'signin_or_signup'}","{'sign_in', 'home', 'get_started', 'account', 'sign_up'}","{'bookmark', 'sign_up', 'to_signin_or_signup'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6666666666666666,0.6666666666666666,0.4,0.4,,
aliexpress,2-SignUp,1,2,"{'home', 'account', 'popup', 'sign_up', 'signin_or_signup'}","{'sign_in', 'home', 'get_started', 'account', 'sign_up'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup', 'continue'}","{'email', 'account', 'sign_up', 'password', 'to_signin_or_signup'}",0.6,0.8333333333333334,0.6,1.0,,
etsy,2-SignUp,0,0,"{'sign_in', 'signin_or_signup', 'sign_up', 'get_started'}","{'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_signin_or_signup', 'continue'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",0.75,0.6666666666666666,1.0,0.3333333333333333,,
etsy,2-SignUp,0,1,"{'signin_or_signup', 'sign_up', 'get_started'}","{'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_signin_or_signup', 'continue'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",1.0,0.6666666666666666,1.0,0.3333333333333333,,
etsy,2-SignUp,0,2,"{'home', 'get_started', 'menu', 'sign_up', 'cart', 'signin_or_signup'}","{'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_home', 'menu', 'sign_up', 'cart', 'popular', 'to_signin_or_signup'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",0.5,0.2857142857142857,1.0,0.3333333333333333,,
etsy,2-SignUp,0,3,"{'signin_or_signup', 'sign_up', 'get_started'}","{'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_signin_or_signup', 'continue'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",1.0,0.6666666666666666,1.0,0.3333333333333333,,
etsy,2-SignUp,0,4,"{'menu', 'sign_up', 'signin_or_signup'}","{'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_signin_or_signup'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,,
etsy,2-SignUp,0,5,{'sign_up'},"{'get_started', 'sign_up', 'signin_or_signup'}",{'multi_form'},"{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",1.0,0.0,0.3333333333333333,0.0,,
etsy,2-SignUp,1,0,"{'sign_in', 'signin_or_signup', 'sign_up', 'get_started'}","{'sign_in', 'get_started', 'sign_up', 'signin_or_signup'}","{'multi_form', 'to_signin_or_signup', 'continue'}","{'email', 'sign_up', 'password', 'continue', 'to_signin_or_signup', 'name'}",1.0,0.6666666666666666,1.0,0.3333333333333333,,
