AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,core_flag,reduction
home,6-Account,0,0,"{'home', 'sign_in', 'menu', 'setting'}","{'home', 'sign_in', 'menu'}","{'account', 'sign_in', 'password', 'deny', 'menu', 'email', 'menu_settings'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.75,0.7142857142857143,1.0,1.0,,
home,6-Account,0,1,"{'home', 'sign_in'}","{'home', 'sign_in', 'menu'}","{'menu', 'sign_in', 'password'}","{'sign_in', 'account', 'password', 'menu', 'email'}",1.0,1.0,0.6666666666666666,0.6,,
home,6-Account,1,0,"{'home', 'sign_in', 'menu', 'setting'}","{'home', 'sign_in', 'menu', 'setting'}","{'account', 'sign_in', 'password', 'deny', 'menu', 'email', 'menu_settings'}","{'sign_in', 'account', 'password', 'menu', 'email', 'menu_settings'}",1.0,0.8571428571428571,1.0,1.0,,
home,6-Account,1,1,"{'home', 'sign_in'}","{'home', 'sign_in', 'menu', 'setting'}","{'menu', 'sign_in', 'password'}","{'sign_in', 'account', 'password', 'menu', 'email', 'menu_settings'}",1.0,1.0,0.5,0.5,,
wish,6-Account,0,0,"{'home', 'sign_in', 'menu'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'to_search', 'account', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",1.0,0.8333333333333334,1.0,1.0,,
wish,6-Account,0,1,"{'home', 'sign_in', 'menu', 'setting'}","{'home', 'sign_in', 'menu'}","{'account', 'sign_in', 'password', 'menu', 'email', 'menu_settings'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.75,0.8333333333333334,1.0,1.0,,
wish,6-Account,0,2,"{'home', 'sign_in', 'setting'}","{'home', 'sign_in', 'menu'}","{'account', 'sign_in', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.6666666666666666,1.0,0.6666666666666666,1.0,,
wish,6-Account,0,3,"{'home', 'sign_in', 'menu', 'popup'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'account', 'continue', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.75,0.8333333333333334,1.0,1.0,,
wish,6-Account,0,4,"{'home', 'sign_in', 'menu'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'account', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",1.0,1.0,1.0,1.0,,
wish,6-Account,0,5,"{'home', 'sign_in', 'popup'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'continue', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.6666666666666666,0.8,0.6666666666666666,0.8,,
wish,6-Account,1,0,"{'home', 'sign_in', 'menu'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'to_search', 'account', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",1.0,0.8333333333333334,1.0,1.0,,
wish,6-Account,1,1,"{'home', 'sign_in', 'menu', 'setting'}","{'home', 'sign_in', 'menu'}","{'account', 'sign_in', 'password', 'menu', 'email', 'menu_settings'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.75,0.8333333333333334,1.0,1.0,,
wish,6-Account,1,2,"{'home', 'sign_in', 'setting'}","{'home', 'sign_in', 'menu'}","{'account', 'sign_in', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.6666666666666666,1.0,0.6666666666666666,1.0,,
wish,6-Account,1,3,"{'home', 'sign_in', 'menu', 'popup'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'account', 'continue', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.75,0.8333333333333334,1.0,1.0,,
wish,6-Account,1,4,"{'home', 'sign_in', 'menu'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'account', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",1.0,1.0,1.0,1.0,,
wish,6-Account,1,5,"{'home', 'sign_in', 'popup'}","{'home', 'sign_in', 'menu'}","{'sign_in', 'continue', 'password', 'menu', 'email'}","{'sign_in', 'account', 'password', 'menu', 'email'}",0.6666666666666666,0.8,0.6666666666666666,0.8,,
6pm,6-Account,0,0,{'home'},"{'home', 'menu'}","{'account', 'menu_more'}","{'menu', 'account'}",1.0,0.5,0.5,0.5,,
6pm,6-Account,0,1,"{'home', 'menu'}","{'home', 'menu'}","{'menu', 'account'}","{'menu', 'account'}",1.0,1.0,1.0,1.0,,
6pm,6-Account,1,0,{'home'},"{'home', 'menu'}","{'account', 'menu_more'}","{'menu', 'account'}",1.0,0.5,0.5,0.5,,
6pm,6-Account,1,1,"{'home', 'menu'}","{'home', 'menu'}","{'menu', 'account'}","{'menu', 'account'}",1.0,1.0,1.0,1.0,,
